Label,Text
sexist,"Тема эта порядком набила оскомину, поэтому буду краток.

О женской логике написано несколько достаточно скучных трудов. Почему скучных? Да потому, что описывают они по большей части не структуру ""женской логику"" как таковой, а процессы применения, практические методы ее реализации в исполнении женщин. А еще эти книги пытаются рассказать мужчинам о женских мотивациях, восприятии женщинами мужчин и т.д.

Однако существует одна замечательная работа, ваше внимание к которой мне хотелось бы привлечь. Это не книга, а скорее статья, эссэ - «Заметки о женской логике», автор — Дмитрий Владимирович Беклемишев. Вы легко найдете ее в интернете, не поленитесь прочесть: статья достаточно короткая, но очень емко описывает основные принципы функционирования «женской логики». Материал подается доходчиво, доступно, с примерами. Поскольку эту работу я считаю чрезвычайно удачной, то надеюсь, что читатель позволит мне в местами повторить своими словами ее главные моменты и проиллюстрировать их теми диалогами, которые на мой взгляд наиболее наглядны.

Наиболее частым приемом со стороны женщины в споре является метод изменения темы или «уход в иную плоскость». Вот простой пример:

М: «По данным соцопросов своим мужчинам изменяют …. % женщин»

Ж: «Вы чушь говорите: я лично никогда не изменяла своему мужу».

Отметим для себя три особенности этого маленького спора с мужчиной:


    женщина изменила тему разговора и опровергает вовсе не начальное утверждение, а то, которое способна опровергнуть;

    из-за того, что женщины чаще всего не сильны в общих категориях, они стараются сузить предметную область, еще лучше - опуститься в область личную, понятную и конкретную;

    женщина старается задействовать эмоциональность, ""завести"" оппонента: чем более эмоционален разговор, тем выше шансы женщины закончить его победительницей;

    женщина не упускает возможности оскорбить оппонента, одновременно выставить себя в выгодном свете, и то, и то по ощущению женщины являются факторами победы в споре. Это метод ""контратаки"": обвинить оппонента любым способом, в чем — не важно.



Для меня одним из самых поразительных примеров работы ""женской логики"" стал мой диалог с мамой моего друга. Мы с гостями за общим столом говорили о равноправии полов и дискриминации мужчин:


Я: ""Дискриминация мужчин в России очевидна уже всем, возьмем пенсионное законодательство, обязательный призыв в армию...""

Она (перебивает взволнованно, осуждающе): ""Вам просто очень не повезло, что Вы до сих пор не встретили свою любовь или сильно разочаровались в женщинах!""



Ну что тут скажешь? Логика абсурда во всей красе. Удивительно, что эта умудренная опытом женщина с высшим образованием, мать двоих взрослых детей, оказалась даже не в состоянии дать себе отчет в том, до какой степени бредовым является этот ответ.

Обратите внимание, что эта женщина не просто постаралась изменить тему обсуждения, но перешла на обсуждение личности оппонента — это весьма характерный прием, особенно в интернет-дискуссиях, суть которого в том, чтобы ""зацепив"" собеседника эмоционально, заставить доказывать что он — ""не верблюд"". Мужчины, которые не слишком опытны в спорах с женщинами, легко глотают эту ""наживку"", начинают оправдываться или отвечают в стиле ""а ты сама-то..."" и, разумеется, проигрывают: кто-кто, а женщина всегда докажет мужчине кто тут ""дурак"", при этом невыгодная для женщины тема забыта.



В определенном смысле, тяга к подмене сути обсуждаемого вопроса органична для женщин в силу:



во-первых, их природного эгоцентризма, что так или иначе сильно ограничивает их возможность объективно рассматривать вопросы общие, объективно существующие как явления, скажем, общественные;


во-вторых, что вытекает из первого, определяет тягу к ""сползанию"" обсуждения в межличностную плоскость отношений ее непосредственного окружения.

Женщинам почти не доступен отвлеченный анализ фактов, без привязки, без прямого отношения к ней, ее непосредственному окружению или сфере ее жизненных интересов. Скорее всего, женщина должна быть эмоционально задействована для обсуждения какой-либо серьезной темы, иначе это для нее малоинтересно.


Вот еще один пример для закрепления:


Я: ""По статистическим данным зарплаты женщин в России составляют всего 63% от мужских""

Она: ""Да что вы говорите! Да полно женщин зарабатывает больше мужиков! У меня подруга-бизнеследи, получает столько, что мужчинам и не снилось!""

Обратите внимание, как женщина не только попыталась поменять предмет обсуждения, но и ""спрыгнула по ступенькам"" с общественного уровня (он ей неудобен) до уровня ближайшего окружения: я говорил о всей стране, женщина сначала снизила уровень до множества ""полно женщин"", но остановилась на удобном для нее объекте - ее подруге. Прыг-прыг. Как мячик по ступенькам.

Женщина считает, что в споре одержал победу тот, чья фраза была последней. Любые аргументы могут быть ""опровергнуты"" загнанной в угол женщиной фразой, обрывающей спор, типа «Ну и что ж!» (обиженно) или «Поумней ничего придумать не мог?» (агрессивно)

Женская логика тенденциозна в сторону абсолюта (об этом понятии расскажу чуть ниже). Так, в рамках нормальной логики нельзя доказать общее утверждение одним или несколькими частными примерами, которые согласуются с этим общим утверждением. В женской — запросто!



И наоборот, часто исключение из общего утверждения не доказывает женщине ложность последнего.

Пример:

М: «Разведенке с ребенком гораздо сложнее выйти замуж, чем женщине без ребенка»

Ж: «Да что вы говорите! Я же вышла замуж с ребенком, у меня сестра еще так вышла и две подруги — тоже»


Женщина «не видит» тысяч женщин, которые не вышли замуж (не смогли) с ребенком ибо эта статистика не нравится ей, факт признания ее женщиной разрушил бы ее абсолют. Истина для нее то, что приятно, что нравится.

А чего стоит фраза ""Все мужчины — козлы, им от женщин только это и надо"". Оставим в стороне истинность этого утверждения и задумаемся над вопросом: а кто, собственно эти ""все"". А ""все"" для говорящей женщины — это те мужчины, с которыми она имела дело, сталкивалась в жизни, но не просто сталкивалась (странно было бы представить, чтобы все коллеги-мужчины на работе в большом офисе, пешеходы на улице, вообще все мужчины страны, домогались бы этой женщины), а имела личные отношения. Таким образом, под ""всеми"" женщина фактически подразумевает 10-20 мужчин, для которых именно она представляла определенный сексуальный интерес.

Итак, женщина, употребившая приведенную фразу, два раза скакнула из частных плоскостей: первый раз, когда она обобщила собственных мужчин до ""все мужчины"", второй — когда под ""от женщин"" подразумевает только себя, ну, возможно, еще некоторых подруг или маму. Интересно, если у этой женщины есть страшная подруга, то и в этом случае от нее ""всем мужчинам надо только это""? Поинтересуйтесь при случае, когда услышите от какой-либо женщины подобный штамп.

Вообще, прыжки из частных примеров в высказывания общего порядка и обратно, т. е. неготовность признавать несостоятельность определенного общего утверждения после указания фактов, которые не вяжутся с этим утверждением, — обычная практика женского спора.

Пример:

Она: «Ты совершенно ничего не делаешь по хозяйству!»

Он: «Вчера я привез 6 сумок продуктов, а сегодня починил кран и пропылесосил гостиную»

Она: «Подумаешь, раз в год, потратил 5 минут. А так все же на мне, от тебя нет никакой помощи»

Обратите внимание, что женщина игнорировала аргумент, который по правилам нормальной логики доказывает ложность ее первоначального утверждения.

В этом диалоге женщиной использован и еще один характерный женский прием: вынудить оппонента привести пример, опровергающий ее высказывание, а затем опрокинуть, уличив в мелочности.

Одним из краеугольных понятий ""женской"" логики является упомянутый ""принцип абсолюта"". Если объяснить это принцип простыми словами, то во главу угла ставится приемлемость того или иного вывода или утверждения лично для женщины, сие подразумевается истиной в последней инстанции, все остальные посылы строятся исходя из степени соответствия этому абсолюту, факты подгоняются под абсолют. Данные и аргументы, которые противоречат абсолюту, пропускаются или игнорируются. Еще проще, одной фразой: ""для женщины правильным и логичным является то, что ей нравится/хочется/нужно"", промежуточные выводы и тезисы лишь подстраиваются под конечный результат, тот вариант «истины», который желателен женщине.

Важнейшим отличием ""женской логики"" от ""мужской"" является то, что т.н. ""женская логика"" вовсе не ставит своей целью достижение истины в чистом виде, как категории познания. Основным мотивом женской логики является принуждение кого-либо, чаще всего, мужчины, к какому-либо действию или же утверждение своего превосходства через «правоту» в споре.

Женская логика неуязвима, недосягаема для логики нормальной (""мужской"") ибо в основе своей она демагогична. Именно по-этому спорить с женщиной, чаще всего, бесполезно. Мало того, вредно: не спорьте, все равно не переспорите.

По той простой причине, что женщину не интересует ваша истина. Последняя мысль почему-то часто не приходит в голову даже довольно умным мужчинам, они с энергией и добросовестностью ввязываются в совершенно бесперспективный спор с женщиной. Женщину все равно практически нельзя убедить в собственной правоте при помощи логических доводов, особенно, если содержание ваших утверждений ей не нравится.

Пусть женщина просто делает то, что нужно, а дискуссии оставьте мужчинам, методами мужской логики. Как уклониться от спора с женщиной? Не вступайте в него: согласитесь с женщиной, если предмет спора незначителен и не оставляйте женщине даже теоретической возможности обсуждать то, что по-вашему мнению обсуждению не подлежит. Используйте внушение и манипуляции, собственный авторитет (разумеется, если вы им обладаете в глазах женщины), но не спорьте в плоскости мужской логики: женщина скорее всего не примет нормальные правила ведения спора, но навяжет вам свои.

Все вышесказанное применимо к фильтрованной, некой ""абсолютной женщине"". Некоторые женщины нашего времени вполне могут себе позволить переключаться между нормальной логикой (в бизнесе, производственных отношениях, в отношениях с друзьями) и женской логикой (отношения с мужчинами и подругами женского типа сознания). Но если речь идет о взаимоотношениях полов, то предостерегаю тебя, читатель, против тебя будет пущена вход именно ""женская логика"".

О практических аспектах применения женской логики будет рассказано в главах ""Женские байки"" и ""Манипуляции"".


Д. Селезнев, 2012"
non_sexist,"Дмитрий, это действительно сильная глава."
sexist,"В статье как то больше про уловки в споре чем о женской логике.Не это ли доказательство, что ее просто не существуе вовсе. "
sexist,"Именно. ЖЛ - набор демагогических приемов. Потому-то я и даю применительно к женской ""логику"" в кавычках."
non_sexist,"Питерский писал(а):Дмитрий, это действительно сильная глава.

Спасибо."
sexist,"Практический вопрос - действуют ли приемы ""женской логики"" против самих женщин?"
sexist,"Конечно. Я сам освоил женскую ""логику"". 
Вопрос лишь в желании ее использовать."
sexist,"Мак, а можно конкретных примеров? Мне просто практические советы и примеры нужны, 29 очередное заседание по ЛРП - БЖ будет поливать как раз ""женской логикой"", а учитывая, что судья и прокурорша - все ОЖП, мне бы приемчиков не помешало )"
sexist,"Ну какие конкретные примеры? Тут весь форум ими испещрен. Равно как и книги Новоселова, Виталиса.

Прочти упомянутую статью Беклемишева.

Не бойся эскалировать тон и напряженность, не допускай, чтобы последнее слово было бабье, оставляй его за собой любым способом, соскакивай с темы на выгодную тебе, меняй плоскость рассмотрения вопроса, играйся масштабом, лови на мелочах, переключайся на нее лично, уличай в мелочности и меркантильности, язви, будь обескураживающе насмешливым, высмеивай интонацией, издевайся над языковыми ляпами и безграмотностью, в случае слабости аргументов смело пользуйся финальным доводом ""ну и что?"", ""поумней ничего не могла придумать?"", привлекай ""сторонников"" и ""судей"" на твоей стороне, апеллируй к стереотипам."
non_sexist,"На пред. заседании я ограничивался ""она врет"" на каждый ее посыл. Когда понос лился особенно долго, неплохо срабатывал вопрос ""И чо?!"". Еще использовал раз пять вопрос ""Хотелось бы понять, чего все-таки хочет истица?!"" Ну и в перерывах между этими тремя фразами передавал судье документы... На предварительном это сработало отлично, БЖ заставили все свои бумажки переписать и представить доказательства... Правда и мне судья сказала быть посерьезней и без юмора, типа здесь вам не тут   
Вот готовлюсь к след. заседанию..."
