Label,Text
non_sexist,"Есть предложение устроить маленький след форумчан из Санкт-Петербурга.
1.Надо знать количество.
2.Место провидения мероприятия.
и т.д

У кого есть предложения и идеи давайте высказывайтесь,обсудим и подумаем надо ли это делать.
"
non_sexist,С форумчанками?
non_sexist,"   форумчанками тоже, мы тут все за одно  "
non_sexist,Я из Питера).) 
non_sexist,"Чё, народ для разврата собирается?  "
non_sexist,Ага. Давайте встечаться
non_sexist,"Она из Питера?..
Надо же))"
non_sexist,"Ну ладно, нельзя чо ли? )) Могу быть из Москоу сити.))"
non_sexist,"Так отлично уже что то    
Нас что только трое из Питера ? 
«Станиславский сказал бы: не верю!»."
non_sexist,я не из питера.
non_sexist,Тоже из СПб
non_sexist,Неаполинарий писал(а):я не из питера.а чо?
non_sexist,"Жаль, что я не пью   И пока бросаю курить в пабы мне вход закрыт."
non_sexist,"Зачем в пабы? Можно и на природе: шашлык-машлык. У меня, к примеру, надо бы огород вскопать."
non_sexist,"Таджиков найми. Может гарне хлопец похожий на итальянца попадется, не тока огород вскопает  "
non_sexist,"Она писал(а):Зачем в пабы? Можно и на природе: шашлык-машлык. У меня, к примеру, надо бы огород вскопать.

Вот меркантильная девушка-то! "
non_sexist,"Coyoto писал(а):   форумчанками тоже, мы тут все за одно  
Группенсекас ожидается?   "
non_sexist,Только вчера вернулся  из   Петербурга!
non_sexist,Я тоже из Питера
sexist,"Coyoto писал(а):   форумчанками тоже, мы тут все за одно  
А вот это зря. Не советую."
sexist,"Coyoto писал(а):   форумчанками тоже, мы тут все за одно  опасное заблуждение"
non_sexist,"Всем, добрый вечер! Подниму тему. Как продвигается? Встречаться будем? 

Предлагаю в эти выходные собраться! Идеи по часу и месту прошу высказывать!"
non_sexist,"Я так понял близость Эстонии даёт знать о себе.

Кстати, вот ссыль интересная.

http://elaginpark.spb.ru/draft/fathers_day_2013

Центральный парк культуры и отдыха им.С.М.Кирова и ""Папин журнал"" приглашают Вас на праздник в честь Дня отца на Большой площади в ЦПКиО им. С.М. Кирова.
Начало праздника: 29 июня в 11:00.

Праздничный концерт пройдет при участии детского интерактивного театра ""Тарабум"", танцевальной студии ""Монте-Карло"" и танцевальной школы ""Храпкофф"" . ""Храпкофф""покажут свои лучшие номера и подарят победителям спортивных соревнований ""Папа-старты"" подарки - абонементы на занятия танцами, на сцене выступят также Интерактивный музей ""ЛабиринтУм"" и Детский хор радио и телевидения Санкт-Петербурга.
Детская корпорация Лимпик готовит спортивную программу соревнований - ""Папа-старты"". ""Лимпик"" также проведет всеобщую зарядку и мастер-класс по брейкингу.
Школа роллеров RollerPride проведет среди всех желающих веселые старты, мастер-класс по катанию на роликах для взрослых и детей, и показательное выступление слаломистов и фрискейтеров.
Аниматоры и аквагримеры приедут на праздник из Тематического парка «Happylon» в ТРЦ «Галерея» .
В творческой зоне для всех гостей студия HandMadeMania будет проводить открытые мастер-классы и ярмарку подарков."
non_sexist,UP ну
non_sexist,Маловато что-то для Питера собралось.  
sexist,А вот баб звать не надо 
non_sexist,"Так, где там третий потерялся?!"
non_sexist,"Я бы полетел, кабы не работа и виза. 

Уважаемые жители Санкт-Петербурга, предлагаю встретиться: сгонять пару партиек на бильярде, скататься на гонки на автодром (Россия, Санкт-Петербург, Московское шоссе, Шушары, 5 км. от КАД), и тд и п..."
non_sexist,??? СПб-спящий город! Собираться будем?
non_sexist,"Мне лень, если честно.  "
non_sexist,"А у меня сейчас работы много, а потом в отпуск на малую родину.
Но собраться как нить надо будет, а то вон москвичи шашлычат во всю, страусятину трескают... зажрались))), у киевлян бильярдные сходки, а мы что хуже что ли?  
Вообщем Я ЗА!...только попозже, да и Михеича может лень отпустит  
хотя это у него навряд ли лень, по бабам таскается   "
non_sexist,"ХЗ, мож и отпустит... По бабам не таскаюсь. Вчера свиданку отменил даже. Ибо лень   Перенёс на воскресенье. 
А если стрелку забьём- форумские тётки будут, или чисто мужская компания?"
sexist,"ЧистА мужская, мне теток форумных не надо, может потом позовем если вести себя будут хорошо) ты так спрашиваешь как будто с ними стрелку забивать собрался ?   Хорошо было бы по московскому варианту на шашлычек собраться но тут я х.з. что могу предложить где, куда, я не местный)"
non_sexist,Поддерживаю идею встречи.
non_sexist,"Я за чисто мужскую. 

Михеич а если решить вопрос с доставкой?"
non_sexist,"+1 за шашлыки. можно на залив, можно на озера."
non_sexist,"Geodezist писал(а):Я за чисто мужскую. 

Михеич а если решить вопрос с доставкой?

С доставкой баб? Или меня к бабам? Или меня на место сбора? Или меня и баб на место сбора? Или ты про водку?  "
sexist,"Возможны любые комбинации. Бап пока не планируем, по просьбам форумчан."
non_sexist,"Да хрен с ними, с бабами. Ну типа на следующие выходные давайте договоримся, что ли?
Кому-как удобнее- в субботу, или воскресенье. 
Кто с машиной, кто без? Я без машины, если чё. К метро подъехать могу, к любой станции."
non_sexist,"Поддерживаю след выходные. Например субботу. Только не рано утром.
Я с машиной. По загородным направлениям у меня главное пожелание-если ехать на машине-чтоб без глобальных пробок. Может с заведений города начнем?"
non_sexist,"Без пробок- это только по Выборгской трассе, скорее всего, да и то не факт. Всё-таки лето, дачники-хуячники и прочие млекопитающие рвуцца на свободу. А какие заведения города имеются в виду?"
non_sexist,"Да, лето, пробки везде.

Заведения: Golden Dolls, Цаца, Карамельки, Баку, Фиолет, Москва =)) По желанию.

Пивные рестораны: Пиворама в гост. Москва (вроде, норм), Швабен-Келлер напротив Смольного на Пискаревском-красиво, естбь пиво и парковка, своя коптильня, остальная кухня редкостный аццтой."
non_sexist,"Golden Dolls, Цаца, Карамельки, Баку, Фиолет, Москва

Кто все эти люди?   
Там вход в пиджаках и галстуках, небось? А цены там какие? 
Может лучше по сахарной вате и в зоопарк?  "
non_sexist,"От ваты кариес. Зоопарк-тема, надо только инструмент взять-чем тушу на шашлык разделывать."
non_sexist,"Не, в зоопарке воняет калом животных.
Я по-молодости, сдуру, одну особу туда потащил на свидание... 
Нашёл ведь куда пригласить...   
Эх, молодость-юность.."
non_sexist,"Посмею предложить дату,время и место:


20 июля, 16 часов, с местом сложнее, жду Ваших предложений, на вскидку могу предложить:

http://www.schwabenkeller.ru/index.php? ... &Itemid=23

http://www.pivorama.ru/contacts/780

http://www.obriens.ru/place/2

А может в сосновке магнал поставить и мясо пожарить? Или милиционеры с лесниками весь праздник обломают?"
non_sexist,"Михеич писал(а):Не, в зоопарке воняет калом животных.
Я по-молодости, сдуру, одну особу туда потащил на свидание... 
Кстати, в зоопарке полно беременных. К чему бы это?"
non_sexist,По ресторанам пиво пить- не комильфо. Бегать ссать с него только.
non_sexist,"Шашлык-машлык идея хорошая, только не в зоопарке)"
non_sexist,"Я тоже за шашлык. В такую погоду надо на природе тусить, а не по кабакам."
non_sexist,"И я плюсану за шашлык. 

Кто готов купить и замариновать мясо? У кого есть мангал?

Кто-что по месту скажет?"
non_sexist,"Geodezist писал(а):Посмею предложить дату,время и место:
Позволю себе вмешаться.
Камрад, жоско определи место и время, а также прочие параметры. Озвучь их. Кому надо - изыщут возможности. Болтунишки откажутся, даже если ты за свой счет повезешь на Байкал.

Поверь коллективному опыту. В каждом деле нужен локомотив. Ты, кмк, на эту роль подходишь.  "
non_sexist,"Geodezist писал(а):  У кого есть мангал?


Где-то были шампура. Мангала нет, но есть приспособа."
non_sexist,"Я мясо замариновать могу, если че, правильно Учитель истории говорит нужна конкретика. И еще раз скажу: я бы предложил место, но я не из Петербурга просто не знаю где  "
non_sexist,"Учитель Истории писал(а):Болтунишки откажутся, даже если ты за свой счет повезешь на Байкал.

Не, ну на Байкал я не откажусь. "
non_sexist,"Что никто поляны никакой не знает, где шашлыков забацать можно?"
non_sexist,"Картинка вырисовывается. Будет конкретика, скоро с местом определюсь."
non_sexist,"Хоца хаёсую паляну, чтоб глушаком грунт не тереть и чтоб людей поменьше и чтоб была рядом база на случай неблагоприятных метиоусловий."
non_sexist,"Foster писал(а):Не, ну на Байкал я не откажусь. 
Так дерзай! Я-то уже там был...  "
non_sexist,"Пацаны, я пока в подвешенном состоянии. Меня в Новгородскую позвали на три дня в следующие выхи, так что я в раздумьях. Ближе к середине недели определюсь."
non_sexist,"Подумал-подумал и надумал:

1). При хорошей погоде-20 июля (суббота), 16-00, Солнечное-парковка за спасательной станцией, пляж ""Ласковый"".

Точнее на карте - http://maps.yandex.ru/?um=kpNailzotu6MJ ... rYKz&l=map

Разместиться предлагаю северо-западнее от ""спасалки"", ближе к дому отдыха ""Взморье"".

В случае непогоды, предлагаю размещаться в близлежащих учреждениях общественного питания.

Транспорт:
1. Электричка с Финляндского вокзала (ст.м. Пл.Ленина) до ж/д станции ""Солнечное"", далее пешком.

2. Автобус 211 с ул. Савушкина (ст.м. Черная Речка) до остановки ""Солнечное, Вокзальная улица"", далее пешком.

3. Коммерческий автобус к-400 с пл. Ленина (ст.м. Пл.Ленина) до остановки ""Солнечное, Вокзальная улица"", далее пешком.

4. Личный автотранспорт от места хранения до точки сбора.

2). При очень плохой погоде, ливне, шквалистом ветре, грозе и градобитиях-20 июля (суббота), 16-00, С-Пб, ш. Революции, д.3, пивной ресторан ""Швабен Келлер"".

Точнее на карте - http://www.restoclub.ru/site/all/main/27135/map/  .

По варианту 1: готов взять на себя закупку и доставку напитков, пишите пожелания, отписывайтесь, кто главный по мясу и мангалу. При наличии спортинвентаря можно замутить пляжный волейбол или футбол на песке, вся инфраструктура там есть.
Планирую ехать машиной-могу подхватить в 14-00 от ст.м.Пл.Ленина.

По обоим вариантам: отписывайтесь по количеству, контакты можно мне в личку."
sexist,"Тёток с собой не брать-там на месте с избытком, можно выбрать."
non_sexist,"Все это конечно гуд,  хорошо бы чтоб люди  подтянулись."
