Column1;Column2;Column3;Column4
31172187;31172189;non_sexist;Я первая девочка в коментах)
31172187;31172196;sexist;Вообще насрать
31172187;31172197;sexist;Отмажут. Злые насильники дадут ему избежать ответственности за преступления. Поганые мужланы. Чтобы вас выeбали, черти.
31172187;31172200;sexist;сначала оплатил ролями в своём кино,оскарами,деньгами и снова его на бабки поставили.)
31172187;31172203;sexist;??????????????
31172187;31172209;sexist;Он гомо сек?
31172187;31172218;sexist;Жалко мне его(
31172187;31172219;sexist;Удивительная новость от РТ
31172187;31172225;sexist;Да уж не ожиданно всё это..
31172187;31172227;sexist;"эти бабки платить нужно адвокатам, а не ""обиженным"""
31172187;31172257;sexist;скорей всего его заказали
31172187;31172270;sexist;Бедный Харви.
31172187;31172272;sexist;44 ляма предложил и типа давай забудем )
31172187;31172292;sexist;Ему надо было просто объявить, что он Гей и все . Шах и мат.
31172187;31172295;sexist;Что то мне тоже захотелось халявных миллионов,сказать что ли что Вайнштейна и до меня домогался. А что,всё равно проверять никто не будет. Главное историю придумать правдоподобную и когда надо слезу пустить ??
31172187;31172306;sexist;Этот хоть на актрисульках погорел,а спортивный чиновник ,вообще на горничную -негра набросился,пардон,афроамериканку
31172187;31172383;sexist;Домогаров
31172187;31172505;sexist;комеди клаб отдыхает
31172187;31172619;sexist;Он сказал,что это они его принуждали)?
31172187;31172751;sexist;У этих педовок из голивуда все сводится к баблу.
31172187;31172764;sexist;??????????????
31172187;31172765;sexist;Тупые aмеикашки знали о его любвеобильности на протяжении многих лет - всех баб Голливуда перетрaхал... Но почему-то только сейчас завопили. Это из-за того-что стали снимать одно говно? Лошары! ????????
31172187;31173078;sexist;
31172187;31175339;sexist;жаль мужика, любительницы сделать карьеру через постель ему отомстили...
31172187;31175685;sexist;"эти ""жертвы"" хищные акулы...Разводняк"
31172187;31178236;sexist;+++ Ощипали бабы мужика.
30469221;30469239;sexist;"Неужели признался , что евнух??????Вот какой имбецил советует мрикановским дамочкам напяливать такие вычурные ""украшения"" (?), и так не блещут красотой (по моему мнению), так и херобору всякую вешают, аки дуры безмозглые !????"
30469221;30469240;sexist;бабёнка вроде не прочь . что не так то?
30469221;30469242;sexist;И этот старый чёрт туда же???
30469221;30469253;sexist;Старый черт. !!! Как себе такое позволил.  В макушку чмокнул. Кстрировать его !!! После этого бабы жалуются на увеличение гомосексуалистов. Ну а как тут к ним не увеличиваться???))) Слаява Богу у нас такого бреда нет
30469221;30469259;sexist;пердун старый! Неужели не стыдно?
30469221;30469261;sexist;Ценности они такие ценности. Все перееплись.
30469221;30469266;sexist;Ну как можно не подсмотреть, не подглядеть, не вывернуть шею, не прикоснуться, когда вокруг столько красоты и разного интересного...
30469221;30469278;sexist;Подошел сзади во время публичного мероприятия, глубоко вдохнул запах ее волос, чтобы понять, какой шампунь ей подарить на 8 марта, и поцеловал  ее безмозглую голову. Это бл домогательство?!???? Е..нулись б** там все с этими домогательствами.
30469221;30469279;sexist;молодец старпёр))
30469221;30469289;sexist;Про слуцкого че не пишете то?
30469221;30469293;sexist;"Это нарушение прав мужчин, подвергаться таким обвинением со стороны женщин?? Закон какой-то сырой чтоли. Спустя много лет ""убрать"" неугодного тебе человека обвинив его в сексуальных домогательствах."
30469221;30469296;sexist;Сначала сватов надобно засылать)
30469221;30469299;sexist;Плевать.
30469221;30469310;sexist;Про зайчутку лучше напишите
30469221;30469325;sexist;ничего бы не было , если бы он так мужика поцеловал ...
30469221;30469345;sexist;"1. чота не видно, что она не довольна
2. байден конченый русофоб, пусть его засудят и посадят"
30469221;30469379;sexist;Мааааать честная...
30469221;30469387;sexist;"В Ответ на Это...Джо Байден предоставил справку от уролога,что у него уже 30 лет как ""Не стоИт"" и дал согласие облучить свои седые айцы радиацией..????"
