Post_id,Comment_id,Label,Text
31172187,31172189,non_sexist,? ?????? ??????? ? ????????)
31172187,31172196,sexist_in_co,?????? ???????
31172187,31172197,sexist,"???????. ???? ?????????? ????? ??? ???????? ??????????????? ?? ????????????. ??????? ???????. ????? ??? ??e????, ?????."
31172187,31172200,sexist_in_co,"??????? ??????? ?????? ? ????? ????,????????,???????? ? ????? ??? ?? ????? ?????????.)"
31172187,31172203,non_sexist,???????
31172187,31172209,non_sexist,?? ???? ????
31172187,31172218,sexist_in_co,????? ??? ???(
31172187,31172219,non_sexist,???????????? ??????? ?? ??
31172187,31172225,non_sexist,?? ?? ?? ???????? ??? ???..
31172187,31172227,sexist_in_co,"??? ????? ??????? ????? ?????????, ? ?? ""?????????"""
31172187,31172257,sexist_in_co,?????? ????? ??? ????????
31172187,31172270,sexist_in_co,?????? ?????.
31172187,31172272,sexist_in_co,44 ???? ????????? ? ???? ????? ??????? )
31172187,31172292,non_sexist,"??? ???? ???? ?????? ????????, ??? ?? ??? ? ??? . ??? ? ???."
31172187,31172295,sexist,"??? ?? ??? ???? ?????????? ???????? ?????????,??????? ??? ?? ??? ?????????? ? ?? ???? ?????????. ? ???,??? ????? ????????? ????? ?? ?????. ??????? ??????? ????????? ?????????????? ? ????? ???? ????? ??????? ?"
31172187,31172306,sexist,"???? ???? ?? ???????????? ???????,? ?????????? ???????? ,?????? ?? ????????? -????? ??????????,??????,??????????????"
31172187,31172383,non_sexist,?????????
31172187,31172505,sexist_in_co,?????? ???? ????????
31172187,31172619,sexist_in_co,"?? ??????,??? ??? ??? ??? ??????????)?"
31172187,31172751,sexist,? ???? ??????? ?? ???????? ??? ???????? ? ?????.
31172187,31172764,sexist_in_co,???????
31172187,31172765,sexist,????? a???????? ????? ? ??? ??????????????? ?? ?????????? ?????? ??? - ???? ??? ????????? ??????a???... ?? ??????-?? ?????? ?????? ????????. ??? ??-?? ????-??? ????? ??????? ???? ?????? ??????! ????
31172187,31175339,sexist,"???? ??????, ???????????? ??????? ??????? ????? ??????? ??? ?????????..."
