Post_id,Comment_id,Text
11251049,11251060,"Взрывов не было. Это просто Саня дунул в системник и мука случайно загорелась
©ГП"
11251049,11251063,зеленский галимый популист.....под его выборы и мнимые отставки выводят из игры деятелей 14го года.....тех кто вложился в этот проект и поимел свою выгоду..
11251049,11251064,Взрыва не было он уволился два дня назад пять
11251049,11251066,"Вот не понимаю я этих чоповцев и омоновцев, посланных на Шиес. Их же детям и внукам потом на этой, отравленной их же стараниями, планете жить. 🤔"
11251049,11251070,мусора в стороне от мусорной проблемы
11251049,11251072,Зе - он пытался. Популист фигов.
11251049,11251073,"Кагбэ всё ясна-панятна с этими активистами, русские СМИ п..здеть не будут"
11251049,11251075,"воюют одни хахлы с другими, а переговоры хочет с Россией. ох ща мамкиным политикам пригорит от правды..."
11251049,11251088,сори.. я из Укр.. но а кто такой Зеленский до сих пор не понимаю
11251049,11251220,"К сожалению, война на донбассе выгодна двум сторонам.."
11251049,11251228,Я ждал что Зеленский поедет в Донецк или Луганск. А он только языком трепать мастер. Вобщем прогресса никакого не будет.
11251049,11251308,в комменты ботов подвезли что ль?
11251049,11251311,С руководством России вообще лучше не о чем не говорить. Все равно что об стену биться головой. Себе хуже сделает Украина. Всё не в вашу пользу будет.
11251049,11251326,"Взрыва не было , это Фотошоп"
11251049,11251340,Активисты активировали своей активностью антиактивантов🤷🏻‍♂️
11251049,11251618,Но ведь гендеров всего 2🤦‍♂️м-да.
11251049,11251653,Океания никогда не воевала с Остазией! И взрывов никогда не было!
11251049,11251764,"Дэмос, один из самых глупых ботов, беспощадно унижен и обоссан. Но он мужественно продолжает свою войну с либерастами, ведь у него контракт"
11251049,11252125,"Сами же спамили ими, рачье)"
11251049,11252502,"Как всегда, взрыва нибыла, вы всё врёти! Он уволился две недели назад"
11251049,11253401,"зарплату депутатов превысила зарплата чиновников 0_о"" ну и ну... теперь точно подымут зарплаты в стране.... депутатам ...."
11251049,11254033,"Да ладно, давно уже все смирились с тем что ""во всем виноват Путин"""
11251049,11254964,"Он пошутил
Как обычно
Пять"
11251049,11258340,"Задолбали эти активисты. Они из регион в регион что ли кочуют? С 15 июня стройка в Архангельской области замораживается, можно делать ставки - в какой области и по какому поводу начнутся новые протесты"
11251049,11259278,"Когда живёшь в Дзержинске, от ударной волны взрыва, который ты видел собственными глазами, тебе вынесло стекла из окон, и тут резко говорят что ничего этого не было и все это вранье"
11178727,11178730,Платить штраф за собственную сломанную руку это сильно
11178727,11178734,Так . Лицо соника стало нормальным?
11178727,11178742,Активистке сломали руку и оштрафовали - день из жизни рабов в раиси
11178727,11178745,">Фильм про «Соника» отложили на три месяца 

Этот фильм надо отложить сразу в унитаз вместе с новым Терминатором."
11178727,11178753,"В Петербурге ФАС обнаружила активистку, которой на три месяца сломали руку"
11178727,11178765,Раз два три четыре пять
11178727,11178768,"Перерисуйте терминатора, уберите лишних баб, замените плохиша на... да блин лучше бы козловский его сыграл, чем Луна.
Что касается Соника, то глаза ему заменить и покорче сделать )))"
11178727,11178776,Сломали руку и влепили штраф. Ахаха ну все по классике. Конченные
11178727,11178808,"«Тина Канделаки спродюсировала для «Амедиатеки» пилот сериала про порноактёров». Если взлетит, очень смешно будет 😄😆"
11178727,11178908,Фильм про зелёного слоника отложили на три месяца
11178727,11179115,Нефтянники бояться разориться😂😂😂Россия обложена по всем фронтам санкциями и так же сама наложила санкции на всех и зависит от продаж Китаем смартфонов Америке и от мирового рынка в котором практически не учавствует😂5 балов!
11178727,11179217,"А на rottentomatoes сказано, что соника отложили до февраля 2020"
11178727,11179237,Вот про Соника - реально больно
11178727,11179478,"ВОТ И ОКТО ЭВЕРТОНА ОТКРЫЛОСЬ
Тина Канделаки спродюсировала для «Амедиатеки» пилот сериала про порноактеров

Генеральный продюсер «Матч-ТВ» Тина Канделаки по заказу сервиса «Амедиатека» спродюсировала пилотный эпизод сериала про порноактеров. Сериал посвящен отношениям порноактера и порноактрисы. «В этой истории меня заинтересовал контраст между профессией героев и глубиной, искренностью чувств, которые они испытывают друг к другу», — рассказала Канделаки."
11178727,11179672,Нового Соника сыграет Козловский три пять пятьдесят
11178727,11179722,"Вот они реалии. Сначала руку сломают, а затем еще и оштрафуют. А если попытаешься куда-либо пожаловаться, то рукой можешь и не отделаться. Живи и страдай, как говорится, но это только у нас."
11178727,11180200,"««При задержании 1 мая полицейские толкнули Баринову, она упала и сломала руку. Несмотря на это, женщину отвезли в отделение полиции, а затем — в больницу на «скорой» »»

По квартире, каждому из героев защищающих наш покой."
11157211,11157219,сша введут указ о роспуске 50 млн пользователей instagram
11157211,11157224,На самом деле Земля была плоской. Объясняю: она была плоской прилетел астероид и вдавил в нутрь и теперь этот астероид ядро и земля стала шарообразной. Я знаю что я гений
11157211,11157227,"ору, фейсбук совсем на ошибках не учится?))) сколько за последние месяцы данных утекло?))"
11157211,11157229,"Теперь уже не так зазорно хотеть как на Украине, да?"
11157211,11157235,"А ещё этот зебил назначил командущего ЗСУ генерала-предателя, который завёл своих бойцов в Илловайский котёл, и трусливо бежал оттуда, бросив на произвол судьбы солдат."
11157211,11157236,Black Star и «Армия России» выпустят совместную коллекцию одежды. Black Russia
11157211,11157237,"Ауф
Зеленский распускает Раду
Ауф
Министров валит, как топор
Стыдно издалека, Трудно понять России,
Президентом стал не Путин, юморист
Ауф"
11157211,11157246,"щас Зеленский еще объеденится с сша и ппц нам) зато крым есть, я там не был даже, да и не буду"
11157211,11157319,"Лучше бы «Армия России» со Зверевым совместную коллекцию сделала. Он хотя бы, в отличие от Юнусова, в армии служил. Хочется отрастить себе дополнительные руки — я не смогу изобразить этот фейспалм всего двумя."
11157211,11157370,"Где. Архив. С. Данными? Почему каждый новостной блог считает нужным рассказать об утечке данных, но никто не предоставляет доказательства этой утечки."
11157211,11157798,Амазон сука опять всё слил гнида
11157211,11157871,Black Star и «Армия России» выпустят совместную линию одежды. Не служил - мегабургер не получил
11157211,11157999,"а можно ссылочку на ""данные в открытом доступе""? А то всегда пишут, что мол любой желающий может их прошерстить, а на деле хер что найдешь."
11157211,11158429,я так и знала что чувак из россии окажется. только думала что просто бухой.
11157211,11158768,Люди которые сидят в инстаграме и так свою жизнь выставляют напоказ
11157211,11159340,"Блэкстар и армия россии...
Выпустят коллекцию одежды...
Щас угадаю: на заду будет гульф для быстрого доступа?"
11150673,11150685,вот и сказочке конец пятнадцать
11150673,11150690,А вот сейчас обидно было(((
11150673,11150691,"Раз два три четыре пять
Затралил лалку он опять"
11150673,11150692,"И что, кто-то ожидал чего-то другого от президента Украины? Он Украины президент, а не России.

Два мира, два Шапиро:"
11150673,11150693,Раз два три щас будет срачь
11150673,11150699,Раз два три четыре четыре
11150673,11150703,"Ну вот, теперь он не наш"
11150673,11150707,а в чем она (агрессивность) заключается? не совсем в теме
11150673,11150708,"Я думал он будет действовать по сценарию фильма ""Слуга народа""("
11150673,11150710,раз два три четыре пять
11150673,11150711,Раз два три четыре опять
11150673,11150713,Я уже в предвкушении воскресного киселя
11150673,11150714,Чо поцаны дружба мир братья навек
11150673,11150715,Топ 10 паранков вышедших из под контроля
11150673,11150716,"Абсолютно верно, раз два три четыре пять"
11150673,11150717,Короче Донбасс ещё не скоро кончится
11150673,11150719,Кто-то на что-то надеялся? Пять
11150673,11150720,Россия агрессивная . аазаззаазазза . партнер ахаха сша . ПРИЗНАЙся Зеленый ЧТО УКРАИНА - Вассалы Сша.
11150673,11150723,"ŁÓŁ. «А я говорил», что ничего не изменится, только попкорна больше уйдёт."
11150673,11150727,"США только и ждали распоряжения Зели, теперь то точно задавят всех врагов, с таким вожаком.😁"
11150673,11150728,Вот он себя и выдал - агент ГосДепа!
11150673,11150731,класс класс класс класс класс
11150673,11150741,А разве боооольшой медвед - это Украина 🇺🇦?
11150673,11150743,"Ничего другого от новоизбранного Президента я и не ожидала. Никакого мира между Россией и Украиной никогда не будет, пока у власти воры и актеры."
11150673,11150744,"Вот люблю, но теперь грустно любить, но люблю"
11150673,11150747,"Хахаха, ожидаемо, Украина це запад бл* 😂"
11150673,11150748,"Не братья вы нам! Когда США вас бросит, не просите помощи"
11150673,11150749,"Ля, ребят, как билеты на поезд сдать обратно?"
11150673,11150751,Вообще насрать. Но комент я оставил
11150673,11150754,А вы надеялись?)))😂😂😂как с трампом после обамы???😂😂😂
11150673,11150759,Можно было и не надеяться четыре пять
11150673,11150764,Как будто у него дофига выбора было по этому поводу.
11150673,11150765,"Та зашо,зашо,зашо,зашо,зашо!"
11150673,11150767,"Кажется, система дала сбой, RIP..."
11150673,11150778,"Шутки кончились, нам всем звездец"
11150673,11150779,"Слушайте,пацаны,,а где агрессия?"
11150673,11150780,"Ору, ещё утром все ""Ура, класс, поздравляю"", а тут такое. Боюсь вы не выкупили, что как бы Украина и Россия воюют. Нам тут по большому счёту пофиг, хоть вас там всех в рабство обратят. Нам бы от вас отбить восток и Крым)) Наивные"
11150673,11150783,"Вот и хорошо, народ быстрее очнется и начнет выходить на улицы"
11150673,11150786,шо там можно в украину валить уже?
11150673,11150794,"""Откуда вылез он? Из книги редких видов выписан.""©"
11150673,11150810,"очень сильно хочу отупеть чтобы забыть как читать. большинство и правда не выкупает что россия на всемирной арене ведёт себя просто отвратительно по отношению к другим и ставит понты выше всего, и это не измениться, если правительство не угомонится."
11150673,11150816,А как еще ему поступать с военным агрессором?
11150673,11150817,"А потом посмотрим через годок, что он сможет из своих обещаний сделать. Был уже один такой 5 лет назад, что обещал поднять страну... Ну и как бы результат мы видим"
11150673,11150827,"Нам бы внутри своей страны разобраться, не на Украину смотреть..."
11150673,11150833,Меня больше интересует что он будет делать со Сватами 7?
11150673,11150836,чо происходит три два один
11150673,11150838,а простые люди в России в чем виноваты?
11150673,11150860,А можно чтобы большие дядьки там между собой вопросы решали и не приплетали миллионы людей или это так не работает?
11150673,11150861,"Ну що, то Трампа выбирали, то зеленского, результаты не меняются? ""Да у вас, батенька, палец сломан""."
11150673,11150864,санкций против РФ не надо. по почкам пусть лучше плешивого отмудохают
11150673,11150866,Ну не дэбил ли...поменяли шило на мыло..
11150673,11150871,"А я держал на него надежду, увы теперь вообще не хочу иметь дело с Украиной ("
11150673,11150891,Опять воронежу с пенсионерами отдуваться:( пять
11150673,11150902,"Сыкуны, знают что Русские великий народ вот и трещат без умолку..."
11150673,11150908,"Варяжский преступный конунг отобрал у Украины половину территории, и пытается оккупировать ещё часть, ничего удивительно. Не на того обижаетесь. Из-за этого Россия схлебнёт по полной, и не только от США но и от всего международного сообщества. Россияне не выбирали такую власть, она насильственная...."
11150673,11150911,"А в чем заключается эта ваша агрессия... Просвятите нас «несведущих», великие политические умы 😇😇"
11150673,11150916,Где можно запастись поп-корном на следующие 5 лет?
11150673,11150919,"За 4 года войну (ВОВ) закончили, а тут 5 прошло и договориться между собой не могут, Крым не Крым, да срать все хотели на него думаю. Эта мышиная возня просто выгодна всем сторонам."
11150673,11150926,Вы что ебобо? Вектор взглядов все равно правильный и патриотичный. Нормальный президент будет пытаться подружиться со страной-оккупантом ? Еще больше люблю Украину теперь.
11150673,11150932,Может это все шутка? Он просто решил пошутить - он же комик
11150673,11150939,"""О чем говорят президенты"" фильм первый. 
Будем посмотреть."
11150673,11150941,"Как же у ваты горит, любо дорого смотреть)"
11150673,11150995,"""Дядя Вова, ты дурак..? ""
А если честно то как можно назвать Россию агрессором когда у нее за пределами государства всего лишь 20 военных баз в то время как у США более чем 600 … Зеленский ничем не лучше Порошенко, шило на мыло поменяли … 😐"
11150673,11151015,Братья славяне на век пять
11150673,11151030,"А меня интересует только одно.
Что за отсчёт многие ведут в комментариях?"
11150673,11151038,Го Фаст рапиру на 15й
11150673,11151048,"Он ведь фактически признал, что будет продолжать делать из Украины буферное государство. 

С одной стороны - Россия, с другой, через 7тыс.км, - США."
11150673,11151079,"тикайте з городу, тоби хана
вот так он, наверное, хотел сказать)
мне влом букву и переключать, сорянчик"
11150673,11151082,"Если бы РФ не выпендривалась и не ставила условия Зеленскому...мол, мы поздравим Украинского президента только с первыми успехами в Донецке и т.д, а сейчас, в первый день президенства, не будем. Да пошли вы на хер со своими условиями, быдло. С РФ, к сожалению, нужно говорить только так..."
11150673,11151149,Санкции нам только на пользу
11150673,11151163,Странная пикча. Либо так тонко либо пахнет говной
11150673,11151171,"все так возмущаются,хотя он и никогда не обещал мир с россией,если только при условии возврата территории"
11150673,11151175,"забавно, учитывая, что у меня коллектив на работе (центр мск): 40%укр/40%рус и 20%различных."
11150673,11151182,Когда Путин не поздравил с победой
11150673,11151197,А кто-то ожидал других решений? В целом все логично с его стороны.
11150673,11151203,Трек о Зеленском на стене🤙🏽
11150673,11151207,"а какой вообще смысл ему мириться с россией и ТЕМ БОЛЕЕ с ее правительством,если они отжали крым и донбасс,и типа вы думали он такой скажет ""здравствуйте,я новый президент,и сегодня переговоры с путиным"",да?👌никакой пользы им от россии не видать,поэтому он и заботится о порядке в своей стране,правильно делает)"
11150673,11151225,"жду людей,которые скажут ""аааа вот сразу про россиюшку заговорил типа не намерен с ними мириться а НА САМОМ ДЕЛЕ ТО КРЕМЛЕВСКАЯ ПОДСТИЛКА ваш зеленский!!!!!!!!!!!!это путинский план!!!!"""
11150673,11151228,"Ору с ваты. Вам было мало Трампа, да?) 
Ну так увидьте реального патриота Украины, который будет ДЕЙСТВОВАТЬ)))"
11150673,11151231,Кто первым будет покушение на клоуна делать?
11150673,11151233,"А что, вы ждали чего-то другое?..."
11150673,11151307,Чувствую как наши пропагандисты строчат о новой фашисткой хунте и прочий бред
11150673,11151325,Вот он ЮМОРИСТ четыре пять.
11150673,11151368,"Сосите другие страны, нам в России хорошо."
11150673,11151381,"Как будто президент, в какой либо из стран решает. Даже ВВ ничего не делает, без одобрения богатеев)."
11150673,11151413,"список утверждений психически нездоровых людей, считающих себя элитой и оппозицией:
1. ""россия отжала крым, заставляли под автоматами голосовать на референдуме"" (при том что митинги сторонников рф на всем юговостоке и крыму, еще до ополченцев, разгоняли аналогичные митинги майдана в считанные минуты)
2. ""рф ввела войска на донбасс"" - при том что ни одного фото или видео с военными рф или техникой нет, за исключением РЗСО из которой наши олухи обосрались и обстреляли окраину мариуполя, все остальное это обычные ополченцы или приезжие добровольно контрактники за ЧВК вагнер ,никакого отношения уже к армии РФ не имеющие, никакой техники кроме старых танчиков и бтров у ополчения никогда не было, а вот видео отьема тех же танков и градов у укров полный ютуб, но ""это же вата смотреть мы конечно это не будем"""
11150673,11151494,"Отлично. Зеленский, судя по всему, отличный президент. Лучший, что был у Украины."
11150673,11151559,"Вот это поворот, так сказать..."
11150673,11151568,"Если ты не тупой ху8. Должны понимать , санкции омерики , и слова подержки салоеда направленны не на нас, простых жителей росии, а хунту солнцеликого. А поскольку нашему государству пох8й на своих поданных, они будут отбивать потери на нас. Ну а мы терпим)"
11150673,11151581,Не пошли бы эти укропы нахкп?
11150673,11151589,"У чувака сольный стенд-ап, вы че мешаете"
11150673,11151617,"Там флаги на медведях перепутали, идиоты. 😂"
11150673,11151649,значит ваине быть!!11! два один
11150673,11151663,На медведе флаг Украины неправильно нарисован :)
11150673,11151763,"А вот и советники от США провели с Зеленским первые переговоры, объяснили кого надо слушаться."
11150673,11151783,"Обиделся, что его ВВ не поздравил с инаугурацией???"
11150673,11151792,"Все правильно) жёстче санкции, чище мозги."
11150673,11151834,"Вот интересно, почему люди должны страдать от того, что политикам не нравится политика других стран. Соберитесь всеми парламетами, думами, радами и прочим, и бейте друг другу морды.... и людям развлечения, и сами решите свои вопросы"
11115018,11115023,"•так и знал, что во всех моих нарушениях психики виноват Mario, ведь я так и не дошел до принцессы.
•Выделит 1 млрд на нужные детские фильмы, где  все животные  голосуют за единую россию и налог на дождик для вашего же блага, налог на солнечные  погоды, чтобы защитить вас от магнитных бурь, налог на кислород,  чтобы он был чище рядом с вашим заводом.
•в хиджабе нет ничего плохого, даже геи защищают свои права, а желание  человека скрыть свое тело от чужих глаз это его личный выбор. В США дети до 5 лет себе выбирают пол, а тут  одежду  запрещают."
11115018,11115027,На детские поърно фильмы надеюсь? А то их явный дефицит сейчас.  Вы цены на печеньки видали??
11115018,11115032,А можно хоть немного денег выделить не на бред?
11115018,11115034,каждый раз глядя на новости три пять
11115018,11115036,Правильно из-за компуктерных игр же люди жестокие.
11115018,11115042,">Правительство выделит 1 млрд рублей на детские фильмы

Ухх сколько же у Бэд Комедиана работы в будущем будет."
11115018,11115047,"опять игоры виноваты, что же это такое!1"
11115018,11115053,Вся проблема в компьютерных играх. Возрастная маркировка все проблемы детской жестокости  решит
11115018,11115055,Но виноваты всё равно компьютерные игры.
11115018,11115066,"А игры разве не маркировали до этого? Куда уж хуже?

Жду того момента, когда поймут, что люди разные и на всех игры, к примеру, влияют по-разному. При том почти всегда они вообще предотвращают насилие. Ну а если человек тронулся умом, то игры тут ни при чем"
11115018,11115076,"Австрия, ты что опять за старое?"
11115018,11115079,Почему пост про Евровидение удалили?
11115018,11115086,"А чё новость про Лазарева удалили...приколюха . Админы,вы чё курите там?))"
11115018,11115095,1 миллиард рублей на детские фильмы??? В предвкушении новых обзоров от бэда
11115018,11115101,"Всегда знал , что в случаях буллинга в школах , виновата сиэсочка и дота."
11115018,11115132,"-слушай, у меня есть план, как уменьшить число школоло-рачья в онлайне
- выкладывай
-а давай приплетем расстрелы в школах!"
11115018,11115147,"Зачем проводить психологические тесты, способствующие выявлению неадекватов и прочих уродов? Лучше сделаем маркировку по возрасту"
11115018,11115171,Когда родился в россии а не сша
11115018,11115185,Сколько же пошлого педофилистического и победобесного бреда на лярд наснимают придворные говнорежиссеры пукина для детей. Страшно представить
11115018,11115202,"чем маркировка поможет огородить детей от игр? играть они не перестанут, ну, это же очевидно"
11115018,11115204,Эх...кс го без школьников...
11115018,11115219,"""Правительство выделит 1 млрд рублей на детские фильмы"" - 285.2 б!!! В особо крупном )))"
11115018,11115238,"Дак в играх уже как сто лет возрастные маркировки стоят. Тем более на материальных носителях. Но меня, пездюка, в детстве это никогда не останавливало)"
11115018,11115248,Детские фильмы о величии России и спасителе нашем царе?
11115018,11115266,Миллиард рупий на детские фильмы? Всего-то? Ну🌚...
11115018,11115269,"хотите докажу что я маг, я угадаю какие посты вы лайкали."
11115018,11115284,Ждем детские фильмы с участием Васи Басты в роли царя.))
11115018,11115294,"Какие детские фильмы? О патриотизме? В духе ""Крымского моста""? Может лучше непосредственно на развитие детей потратить?"
11115018,11115335,Школьники которым не дадут играть в игоры расстреляют всё вокруг из своих горящих пуканов
11115018,11115340,"Ахах, да, это все игры же виноваты)))"
11115018,11115346,>В Госдуму внесли законопроект об обязательной возрастной маркировке онлайн-игр из-за случаев насилия в школе;
11115018,11115359,"- В Госдуму внесли законопроект об обязательной возрастной маркировке онлайн-игр из-за случаев насилия в школе;
Наивные, они всерьез думают,это поможет?"
11115018,11115412,А как можно маркировать онлайн игры? В интерфейс что ли сувать надпись?
11115018,11115463,"Может перестанем одевать детей в военую форму и водить на парад с оружием. Да нет бред, это игры виноваты"
11115018,11115548,"Не проще сэкономить этот миллиард и запретить парашу, которую показывают по карусели и тд?! Пеппа, три кота и тп, вот тупость"
11115018,11115611,Наконец то годноту будут снимать
11115018,11115629,"У вас опечатка, не ""1 млрд рублей на детские фильмы"" а ""1млрд рублей к себе в карман"""
11115018,11115728,"Конечно, виноваты игры, как же иначе..."
11115018,11115736,"Мизулина...уже есть рейтинги у игр, и цифровых и физических копий, то, что родители-лодыри не могут родительский контроль выставить, который уже даже на пароварках есть - это проблема родителей, не трожьте святое в самом деле."
11115018,11115750,"Три заглавные новости. Две из них х.ня, а третья не про Россию.👍"
11115018,11115784,Так возрастным ограничением и так же игры маркеруют не?
11115018,11115785,а чо за фильмы? центральный процессор что ли?
11115018,11115842,"Насилие в школах было всегда, видать крестики нолики виноваты"
11115018,11115858,"Проводилось же куча расследований о влиянии игр на насилие в реальном мире. Все они показали, что компьютерные игры его снижают. Вообще в среде геймеров один из самых низких уровней насилия, гораздо меньший чем у тех же спортсменов. Запрещали бы тогда спорт, чего уж..."
11115018,11115892,"НИКОГДА ТАКОГО НЕ БЫЛО И ВОТ ОПЯТЬ!
Ребята, смотрите, хаха, я тут живу. И лес тут воруют в ужасных масштабах, я каждый день практически могу видеть это своими глазами, ибо живу в пгт, расположенном как раз рядом с лесозаготовками. Огромными самосвалами вывозят. Вырубки хищнические. А ещё у нас свалок в области дохера, почему никто не поднимет вопрос о том, что тут все в мусоре? Про ситуацию с Байкалом я вообще молчу. Там вообще кошмар, если бы вы видели это своими глазами... Видимо, относятся к Иркутской области только как к носителю ресурсов, а её жители- биомусор, расходный материал."
11115018,11115910,"По логике комментаторов, сцены насилия вообще никоим образом не влияют на психику детей, да и людей в целом. Вот все тупые в мире, зачем-то придумали маркировку на фильмы. Им надо было комменты открыть на лентаче и почитать, что Гитлер и Муссолини не играли в комп. игры, не смотрели фильмы со сценами насилия, а все равно очень жестокие были.

А вообще такое чувство, что люди не играли никогда со школьниками, раз утверждают, что на агрессию игры никак не влияют. То, как бомбят дети, и то как они переходят к угрозам в чате, ни коим образом конечно не говорит о том, что игры всё-таки влияют на психику не самым лучшим образом."
11115018,11115957,"Надо вообще запретить ходить в хиджабе, не только в гколу"
11115018,11116002,"Улыбнула новость об ужасном варварстве в лесной отрасли 😁. После вырубки в валдайском заповеднике звучит как издивательство. Угробить кучу леса, обьяснив это противопожарными разрывами (может так оно и есть, может Я тупой люмпин не понимаю всю глубину глубин.  ток мне не странно, зачем в противопожарной просике строить 2 моста?)"
11115018,11116033,"Но эта маркировка ведь уже десятки лет как существует , просто у нас это никто не соблюдает . Ээээммммм ..."
11115018,11116036,"««В Госдуму внесли законопроект об обязательной возрастной маркировке онлайн-игр из-за случаев насилия в школе»»

А давайте выделим денег на создание того, что и так уже есть?

Игры не создают психологические отклонения, а выявляют их, тем же занимаются психиаторы, предлагаю их запретить."
11115018,11116046,"Вот смотрю я на тупоролых одногруппников, некомпетентный преподавательский состав, что определенно создают негативный фон для пребывания в институте, а оно вот оно что! Это все игрульки!!!"
11115018,11116093,"Ждите, скоро Пыня закон о запрете компьютерных игр подпишет)"
11115018,11116105,"Почему нет новостей, что поднимут детские пособия?"
11115018,11116128,1 млрд на детские фильмы мими)) поддержка  цп государством официально .
11115018,11116156,"Человеку дана власть только над самим собою.
Только свою жизнь может устраивать человек так, как он считает для себя хорошим и нужным.
А почти все люди заняты тем, чтобы устраивать жизнь других людей! 
Из-за этой заботы об устройстве жизни людей сами подчиняются тому устройству, которое приготавливают для них другие люди."
11115018,11116159,Наконец-то обзоры Бэда будут выходить чаще
11115018,11116161,"Новость про Австрию радует, очень радует."
11115018,11116178,"Как жаль, что игры маркировались все это время."
11115018,11116203,"Мы играли в Дум и Блад, и шли в школу заниматься уроками, а не войной.
Да, драки были. Но ни у кого не было мысли винить в этом игры. Это были обычные разборки обычных животных за власть и альфасамцовость"
11115018,11116210,"Тупые игры, из детей маньяков делают! Всякие стрелялки ваши! Запретить!"
11115018,11116260,"Абколються своей марьванны, а потом абуться в жопы"
11115018,11116294,"Так везде и так уже рейтинги возроста стоят:H, M,K чего там еще"
11115018,11116342,МИЛЛИАРД РУБЛЕЙ? НА ЧТО? НА ФИКСИКОВ? ЗАЧЕМ?
11115018,11116426,Что за бред? Я с 10 лет играю в МК и что-то к 30 ни одного фаталити...
11115018,11116585,Разум в отношении эмиграционной политики в Европе начал приходить с Австрии
11115018,11116594,"Отсутствие маркировки, говорит об отсутствии минимального возрастного ценза!"
11115018,11116701,"Это же гениально. Отмаркировал игры и все! Браво, браво! Какие светлые головы! Ура товарищи"
11115018,11117007,теперь юные музлимки в Австрии не будут ходить в начальную школу. а в последствии и совсем в школу ходить не будут)))
11115018,11117011,"На детские фильмы выделят, а на популяризацию науки не выделили..."
11115018,11117378,1 млрд рублей на пропаганду. Называйте вещи своими именами пожалуйста.
