Post_id,Comment_id,Text
31366939,31366949,А на нашу жизнь санкции конечно не повлияли😏
31366939,31366979,загнивают чё уж тут думать!скоро с голоду помрут
31366939,31366981,Итальянцы так вообще плачут))Мы были одни из самых больших по обороту точек
31366939,31366996,"Так им и надо!
И я уже устал к тому времени (2014) видеть на прилавках сетевых магазинов: ""божественные"" польские яблоки, финское масло, голландский картофель, творожные сырки из Эстонии, огурцы/помидоры из Болгарии ...
_
Ещё немного таких ""хороших"" взаимоотношений с Западом, и думаю и ХЛЕБ бы из-за бугра к нам завозили. Полностью убив все производство в России на благо еврофермеров. 
_
А по мне так пусть НАШИ фермеры, мои сограждане производят, а до европейских мне дела НЕТ, пусть хоть попередохнут там все. 
Государство обязано делать всё, чтобы зарубежным фермерам было не выгодно производить продукцию, чтобы соответствующие отрасли там хирели, закрывались и исчезали, а наши в свою очередь процветали в том числе за счет экспорта в ЕС, 
чтобы на прилавках ИХ магазинов был картофель, яблоки, огурцы ... из России"
31366939,31367040,"Покупаю дагест помидоры👍 Раньше их не было, только турецк пластмасса"
31366939,31367045,
31366939,31367048,Млять.Заигрались все в политику.Скоро отвечать придется☝
31366939,31367054,"Нужно думать головой прежде чем предпринимать что-то,а не другим местом."
31366939,31367060,"Чую что после самоубийств они больше гневались, вводя больше санкций и обвиняя нас. Но как итог - сильнее эмбарго, новые самоубийства. Думайте, господа европейцы, чем это может закончиться!"
31366939,31367062,Мне наши нравятся яблочки. Даю свинке морской 2 яблока импортное и наше. Наше до кожуры съедает импортное только серединку.
31366939,31367063,"Вот тут благое дело, но вот если не дай бог какой-нибудь европейский канал снимет такое же видео про Российскую деревню то это будет пропаганда в умах хомяков."
31366939,31367278,Теперь из Израиля и Турции все  везут )
31366939,31367294,Тупорылые европейцы поменяли богатейший рынок РФ на нищий рынок укроини
31366939,31367304,Сыры из России заняли первые места во Франции на европейском фестивале сыров
31366939,31367376,Лучше б пенсинерам раздали 😄
31366939,31367394,А мы прям жили не тужили здесь 🤦‍♂️🤦‍♂️
31366939,31367497,А их предупреждали
31366939,31367803,Вот вот дойдёт но ещё не дошло
31366939,31367888,
31366939,31368237,а кому сейчас легко ? короче почти боевая ничья
31366939,31368363,"Это мы в советское время в школе проходили. Очень хотелось наяву увидеть массовое уничтожение продуктов. СЛАВА ПУТИНУ ВОВЕ, наконец, дожили и увидели это действо в натуре. Очень интересно. Одно плохо - моэги в Кремле отсутствуют."
31366939,31368379,"Да норм все будет, не ссать"
31366939,31369235,"Насрать на ес, так им и надо!"
31366939,31380476,Только представьте сколько продукции у нас закупается а не производится
31339468,31339482,
31339468,31339499,"«Перекресток» выпустит карту, по которой клиенты сети смогут покупать продукты в кредит. В X5 Retail Group назвали карту рассрочки «рациональной альтернативой кредитным картам для покупателей с высоким кредитным рейтингом»
РТ а как же новый экономический скачек РФ ?"
31339468,31339505,Не надо отменять нам санкции. Наш президент сказал что санкции только на пользу нам.
31339468,31339554,скидку на газ хотят😄
31339468,31339579,"Отмена санкций??? А что, чужое вернули ? Что изменилось то?"
31339468,31339624,Токайски смородны киснут.)
31339468,31339659,"Гейевропа сама наелась санкциями,Трамп их самих прищучил.Вот теперь заднюю и включают😊☝"
31339468,31339685,Венгрия ничего не решает!
31339468,31339861,Веб! Ты тупой??? Когда это Венгрия применяла санкции к Украине??? Из норы вылез или протрезвел?
31339468,31340123,уже скоро за сбитый малазийский боинг еще добавят
31339468,31340257,"ДА ПО, САНКЦИИ ТАМ НА ВЕРХУ ,А ОНИ ИХ РУЛЯТ,"
31339468,31340389,"Ребят ну каждый год у вас то Венгрия, то Италия, то Австрия вето вот-вот на санкции наложит, но никак не накладывается оно. В чем прикол подобных новостей?😃"
31338349,31338367,
31338349,31338382,продлить еще
31338349,31338397,"Адекватных стран все больше.
Понимают,что Европе нужно отстраниться от США.
И наконец то начинать вести свою политику.
А не проводить политику в угоду Америке."
31338349,31338433,Так минские договорённости следует соблюдать украинской стороне. Причём тут антироссийские санкции?
31338349,31338436,"Санкции, санкции, обоссанкции."
31338349,31338452,"они только говорят,но делать не даст хозяин,т.к. они всего лишь говорящие головы"
31338349,31338453,Все чухать на себе стали последствия
31338349,31338454,😄😂
31338349,31338482,мид Зимбабве и Буркина-фасо тоже ..
31338349,31338484,Кремлеботы прям активировались.. защищая мерзкого путини
31338349,31338629,Венгрия) ха...)
31338349,31338639,Как зайцу пятая нога 🦵
31338349,31338737,Может лучше ввести санкции в отношении Киева? Думаю результат будет.
31338349,31339324,Зима то не за горами.
31330689,31330705,😅😅😅
31330689,31330717,"Я, Сергей Викторович, во всём солидарен с Сергеем Викторовичем ..."
31330689,31330720,
31330689,31330723,"И тысячи лет отстоит не шолохнется, ибо правда за нами и Бог."
31330689,31330724,"Че то фотку Лаврова выбрали какую-то глупую...Сдается мне, что с такими темпами лет через 20 как на Кубе будем жить.😃😃😃"
31330689,31330725,
31330689,31330735,"Да фиг с ними, пусть всем кремлевским ворам запретят выезд заграницу, России будет только лучше"
31330689,31330740,"Лавров крутой. Как и Россия. В любой точке мира, когда люди слышат, что я гражданин Российской Федерации, а не немец, испанец или французик, как они думают сначала - они начинают бегать и говорить хорошие слова о России, пытаются угождать во всём. Это искреннее отношение простых нормальных людей к нам. Для всех остальных у нас есть Лавров ))"
31330689,31330743,"и внесение меня в чёрный список на неделю, считаю не обоснованным!😄 и требую объяснений!"
31330689,31330781,Против нас ведётся полномоштабная война
31330689,31330805,"Удивительно, что не выразили обеспокоенность и озабоченность"
31330689,31330849,
31330689,31330877,
31330689,31330990,"Мистер""озабоченность""."
31330689,31330997,"Ничего страшного, молоко по 100₽, сыр по 1000₽"
31330689,31331035,
31330689,31331117,Русские всё понимают))
31330689,31331362,"Хватит уже объяснять, отвечать надо, причём кратно больше!"
31330689,31331883,"Да , Лавров умница- троллит амеров , как хочет , уже ,твари , улыбаться стали и Помпео чуть галстук жевать не начал от радости, что разрешили с Путиным поговорить!!"
31330689,31337118,"+++ Запад уже приговорил Россию к ликвидации. Теперь не отступит. Или мы их, или они нас. Третьего не дано."
31328105,31328130,Трампец подкрался незаметно
31328105,31328131,У Трампа жена четкая!
31328105,31328133,"Трамп больше Турции ничего не пропихнет😂😂😂
На фига покупать американский отстой."
31328105,31328143,На земле осталось два способа остаться независимыми - ПВО и ядерное оружие.
31328105,31328149,ой да ладно))) не смешите трампа тапочки
31328105,31328159,"Турция молодцы, послали сша"
31328105,31328179,Трамп что то слишком разнервничался..может успокоительного!!!а то прическу вообще не соберет!
31328105,31328191,
31328105,31328213,
31328105,31328250,Первый кирпичик из блока НАТО уже шатается.
31328105,31328267,"а разве на картинке не с-300 ?
с-400 вроде на прицепе"
31328105,31328412,
31328105,31328450,"США не предложили Анкаре важнейшие ракетные технологии, которые нужны для этого оборудования, но также и для того, чтобы повторить эти системы.

Видимо Россия технологии ракет готова передать турции"
31328105,31328478,Ну збс че) эрдоган уже сбивал наши самолеты теперь ваще норм рогатка у него появится
31328105,31328685,"Продавать передовые системы стране НАТО, достойная замена нейтральной и более денежной Индии"
31328105,31328741,"Банкиры напрягают Трампа чтобы тот что-то решал,вот он и рвёт зад"
31328105,31328946,"Потенциальному врагу продать с-400,пока идут  битвы в сирии ну как минимум не патриотично"
